iter	Passed	Remaining
0	53	53086
1	53	26761
2	54	17986
3	54	13594
4	55	10956
5	55	9191
6	55	7929
7	56	6981
8	56	6237
9	57	5647
10	57	5166
11	57	4766
12	58	4428
13	58	4132
14	59	3883
15	59	3660
16	59	3467
17	60	3292
18	60	3136
19	61	2994
20	61	2874
21	62	2756
22	62	2650
23	62	2556
24	63	2467
25	63	2384
26	64	2308
27	64	2236
28	64	2169
29	65	2107
30	65	2048
31	65	1993
32	66	1942
33	66	1896
34	67	1850
35	67	1807
36	68	1770
37	68	1732
38	68	1695
39	69	1660
40	69	1629
41	70	1598
42	70	1568
43	70	1540
44	71	1513
45	71	1488
46	72	1463
47	72	1440
48	73	1417
49	73	1396
50	73	1373
51	74	1352
52	74	1333
53	74	1313
54	75	1295
55	75	1278
56	76	1260
57	76	1244
58	77	1228
59	77	1212
60	77	1197
61	78	1182
62	78	1169
63	79	1156
64	79	1144
65	79	1130
66	80	1120
67	80	1106
68	81	1095
69	81	1084
70	81	1072
71	82	1061
72	82	1050
73	83	1039
74	83	1030
75	83	1020
76	84	1010
77	84	1000
78	85	992
79	85	982
80	85	974
81	86	965
82	86	957
83	87	949
84	87	940
85	87	933
86	88	923
87	88	915
88	88	908
89	89	901
90	89	894
91	89	888
92	90	881
93	90	874
94	91	868
95	91	862
96	92	856
97	92	850
98	92	844
99	93	838
100	93	831
101	93	824
102	94	819
103	94	814
104	94	808
105	95	803
106	95	798
107	95	792
108	96	787
109	96	782
110	97	777
111	97	773
112	97	768
113	98	763
114	98	758
115	98	753
116	99	749
117	99	745
118	100	740
119	100	737
120	100	733
121	101	729
122	101	723
123	101	719
124	102	716
125	102	712
126	103	709
127	103	704
128	103	701
129	104	698
130	104	694
131	105	691
132	105	687
133	105	684
134	106	680
135	106	677
136	107	674
137	107	670
138	107	667
139	108	663
140	108	661
141	109	658
142	109	656
143	109	653
144	110	650
145	110	647
146	111	644
147	111	641
148	111	638
149	112	635
150	112	633
151	112	630
152	113	627
153	113	625
154	114	622
155	114	619
156	114	616
157	115	614
158	115	611
159	116	609
160	116	607
161	116	604
162	117	601
163	117	599
164	117	597
165	118	594
166	118	592
167	119	589
168	119	587
169	119	585
170	120	583
171	120	581
172	121	579
173	121	576
174	121	574
175	122	572
176	122	570
177	123	568
178	123	566
179	123	564
180	124	561
181	124	559
182	124	557
183	125	555
184	125	553
185	125	551
186	126	549
187	126	547
188	127	545
189	127	543
190	127	541
191	128	539
192	128	537
193	129	535
194	129	533
195	129	532
196	130	530
197	130	528
198	130	526
199	131	525
200	131	523
201	132	521
202	132	519
203	132	518
204	133	516
205	133	514
206	133	512
207	134	511
208	134	509
209	135	507
210	135	506
211	135	504
212	136	503
213	136	502
214	137	500
215	137	498
216	137	497
217	138	495
218	138	494
219	139	493
220	139	491
221	139	490
222	140	488
223	140	487
224	141	485
225	141	484
226	141	482
227	142	481
228	142	480
229	142	478
230	143	477
231	143	475
232	144	474
233	144	473
234	144	471
235	145	470
236	145	469
237	146	467
238	146	466
239	146	464
240	147	463
241	147	462
242	147	460
243	148	459
244	148	458
245	149	457
246	149	455
247	149	454
248	150	453
249	150	452
250	151	450
251	151	449
252	151	448
253	152	446
254	152	445
255	152	444
256	153	443
257	153	442
258	154	440
259	154	439
260	154	438
261	155	437
262	155	436
263	156	434
264	156	433
265	156	432
266	157	431
267	157	430
268	157	429
269	158	428
270	158	427
271	159	426
272	159	424
273	160	423
274	160	422
275	160	421
276	161	420
277	161	419
278	161	418
279	162	417
280	162	416
281	163	415
282	163	414
283	163	413
284	164	412
285	164	411
286	165	410
287	165	408
288	165	407
289	166	407
290	166	406
291	167	405
292	167	403
293	167	402
294	168	401
295	168	401
296	168	399
297	169	398
298	169	397
299	170	396
300	170	395
301	170	394
302	171	393
303	171	393
304	172	392
305	172	392
306	173	391
307	173	390
308	174	390
309	175	389
310	175	389
311	176	388
312	176	388
313	177	387
314	177	386
315	178	385
316	178	384
317	178	383
318	179	382
319	179	381
320	179	380
321	180	379
322	180	378
323	181	377
324	181	376
325	181	375
326	182	374
327	182	373
328	182	372
329	183	371
330	183	370
331	183	369
332	184	368
333	184	367
334	184	367
335	185	366
336	185	365
337	186	364
338	186	364
339	187	363
340	187	362
341	187	361
342	188	360
343	188	359
344	189	358
345	189	358
346	189	357
347	190	356
348	190	355
349	191	354
350	191	353
351	191	353
352	192	352
353	192	351
354	192	350
355	193	349
356	193	348
357	193	347
358	194	346
359	194	345
360	194	345
361	195	344
362	195	343
363	196	342
364	196	341
365	196	341
366	197	340
367	197	339
368	198	338
369	198	338
370	199	337
371	199	336
372	199	336
373	200	335
374	200	334
375	201	333
376	201	333
377	202	332
378	202	331
379	202	330
380	203	330
381	203	329
382	203	328
383	204	327
384	204	326
385	205	326
386	205	325
387	205	324
388	206	323
389	206	322
390	206	321
391	207	321
392	207	320
393	208	319
394	208	319
395	208	318
396	209	317
397	209	317
398	210	316
399	210	315
400	211	315
401	211	314
402	212	314
403	212	313
404	212	312
405	213	311
406	213	311
407	213	310
408	214	309
409	214	308
410	215	308
411	215	307
412	215	306
413	216	306
414	216	305
415	216	304
416	217	303
417	217	302
418	217	302
419	218	301
420	218	300
421	218	299
422	219	299
423	219	298
424	220	297
425	220	297
426	221	296
427	221	296
428	221	295
429	222	294
430	222	293
431	223	293
432	223	292
433	223	291
434	224	291
435	224	290
436	225	289
437	225	289
438	225	288
439	226	287
440	226	287
441	226	286
442	227	285
443	227	285
444	227	284
445	228	283
446	228	282
447	229	282
448	229	281
449	229	280
450	230	280
451	230	279
452	230	278
453	231	278
454	231	277
455	231	276
456	232	275
457	232	275
458	233	274
459	233	274
460	233	273
461	234	272
462	234	272
463	234	271
464	235	270
465	235	270
466	236	269
467	236	268
468	236	268
469	237	267
470	237	266
471	237	266
472	238	265
473	238	264
474	238	264
475	239	263
476	239	262
477	239	262
478	240	261
479	240	260
480	241	260
481	241	259
482	242	259
483	242	258
484	242	257
485	243	257
486	243	256
487	243	255
488	244	255
489	244	254
490	244	253
491	245	253
492	245	252
493	246	252
494	246	251
495	246	250
496	247	250
497	247	249
498	247	248
499	248	248
500	248	247
501	248	246
502	249	246
503	249	245
504	250	245
505	250	244
506	250	243
507	251	243
508	251	242
509	252	242
510	252	241
511	252	240
512	253	240
513	253	239
514	253	239
515	254	238
516	254	237
517	255	237
518	255	236
519	255	236
520	256	235
521	256	234
522	256	234
523	257	233
524	257	233
525	257	232
526	258	231
527	258	231
528	259	230
529	259	230
530	259	229
531	260	228
532	260	228
533	260	227
534	261	227
535	261	226
536	261	225
537	262	225
538	262	224
539	262	223
540	263	223
541	263	222
542	263	222
543	264	221
544	264	220
545	264	220
546	264	219
547	265	218
548	265	218
549	265	217
550	266	216
551	266	216
552	266	215
553	267	215
554	267	214
555	267	213
556	268	213
557	268	212
558	268	212
559	269	211
560	269	210
561	269	210
562	270	209
563	270	209
564	270	208
565	270	207
566	271	207
567	271	206
568	271	205
569	272	205
570	272	204
571	272	204
572	273	203
573	273	203
574	273	202
575	274	201
576	274	201
577	274	200
578	275	200
579	275	199
580	275	198
581	276	198
582	276	197
583	276	197
584	276	196
585	277	195
586	277	195
587	277	194
588	278	194
589	278	193
590	279	193
591	279	192
592	279	192
593	280	191
594	280	191
595	281	190
596	281	189
597	281	189
598	281	188
599	282	188
600	282	187
601	282	187
602	283	186
603	283	185
604	283	185
605	284	184
606	284	184
607	284	183
608	285	183
609	285	182
610	285	181
611	286	181
612	286	180
613	286	180
614	286	179
615	287	179
616	287	178
617	287	177
618	288	177
619	288	176
620	288	176
621	289	175
622	289	175
623	289	174
624	290	174
625	290	173
626	290	173
627	291	172
628	291	172
629	292	171
630	292	170
631	292	170
632	293	169
633	293	169
634	293	168
635	293	168
636	294	167
637	294	167
638	294	166
639	295	166
640	295	165
641	295	164
642	296	164
643	296	163
644	296	163
645	297	162
646	297	162
647	297	161
648	298	161
649	298	160
650	298	160
651	298	159
652	299	159
653	299	158
654	299	157
655	300	157
656	300	156
657	300	156
658	301	155
659	301	155
660	301	154
661	302	154
662	302	153
663	302	153
664	303	152
665	303	152
666	303	151
667	304	151
668	304	150
669	304	150
670	304	149
671	305	149
672	305	148
673	305	147
674	306	147
675	306	146
676	306	146
677	307	145
678	307	145
679	307	144
680	308	144
681	308	143
682	309	143
683	309	142
684	309	142
685	310	141
686	310	141
687	310	140
688	311	140
689	311	139
690	311	139
691	312	138
692	312	138
693	312	137
694	313	137
695	313	136
696	313	136
697	313	135
698	314	135
699	314	134
700	314	134
701	315	133
702	315	133
703	315	132
704	316	132
705	316	131
706	316	131
707	316	130
708	317	130
709	317	129
710	317	129
711	318	128
712	318	128
713	318	127
714	319	127
715	319	126
716	319	126
717	320	125
718	320	125
719	320	124
720	321	124
721	321	123
722	321	123
723	322	122
724	322	122
725	323	121
726	323	121
727	323	121
728	324	120
